pid;parent_pid;is_leaf;name_ro;current_name_en;current_name_bg;proposed_name_en;proposed_name_bg
64;61;y;BENZI CUPRU ARHITECTURAL;BENZI CUPRU ARHITECTURAL;;ARCHITECTURAL COPPER COILS;Медни ленти за строителството
66;62;y;TABLE CUPRU ARHITECTURAL;TABLE CUPRU ARHITECTURAL;;ARCHITECTURAL COPPER SHEETS;Медни ламарини за строителството
67;62;y;TABLE CUPRU INDUSTRIAL;TABLE CUPRU INDUSTRIAL;;INDUSTRIAL COPPER SHEETS;Медни ламарини за индустриална употреба
68;61;n;BARE CUPRU;BARE CUPRU;;COPPER BARS;Медни пръти
69;;n;TITAN ZINC;TITAN ZINC;;TITANIUM ZINC;Титан цинк
70;69;y;BENZI TITAN ZINC;BENZI TITAN ZINC;;TITANIUM ZINC COILS;Ленти от титан-цинк
71;69;y;TABLE TITAN ZINC;TABLE TITAN ZINC;;TITANIUM ZINC SHEETS;Ламарини от титан-цинк
73;16;n;FAȚADĂ VENTILATĂ;FAȚADĂ VENTILATĂ;;VENTILATED FACADE;Вентилируема фасада
74;35;y;BARĂ HEXAGON ALUMINIU;BARĂ HEXAGON ALUMINIU;;ALUMINIUM HEXAGONAL BARS;Шестостенни пръти от алуминий
75;73;y;PROFILE FAȚADĂ VENTILATĂ;PROFILE FAȚADĂ VENTILATĂ;;VENTILATED FACADE PROFILES;Профили за вентилируема фасада
76;73;n;ACCESORI FAȚADA VENTILATĂ;ACCESORI FAȚADA VENTILATĂ;;VENTILATED FACADE ACCESSORIES;Аксесоари за вентилируема фасада
77;76;y;CONSOLE SIMPLE;CONSOLE SIMPLE;;SINGLE BRACKETS;Единични конзоли
78;76;y;CONSOLE DUBLE;CONSOLE DUBLE;;DOUBLE BRACKETS;Двойни конзоли
81;76;y;123;123;;123;123
