product_code,product_name_ro,pid_category,size_length,size_width,size_thickness,size_diameter,size_height,size_alloy,size_type,um1,um2,um1_to_um2,product_name_en,um_base,is_active,additional_info,cu_debitare,aliaj,densitate,size_roll_weight
47000300050040001540,BARA LATA CUPRU CU-ETP 1/2 T 30X5X4000 MM R=1,{12},4000,30,5,,,CU-ETP R250,,KG,ML,1.341,COPPER FLAT BARS 30X5X4000MM CU-ETP R250,KG,y,,n,,,
21040040020600061500,CORNIER ALU  40X40X2X6000 MM 6060  T6,{29},6000,40,2,,40,EN AW 6060 T6,,KG,ML,0.4212,ALU L PROFILES 40X40X2X6000 MM 500-3293 6060 T6,KG,y,,n,,,
12050400100020001300,TABLA ALUMINIU 5754 H111 4X1000X2000 MM,{19},2000,1000,4,,,EN AW 5754 H111,,KG,BUC,21.28,AL SHEETS 4X1000X2000 MM 5754 H111,KG,y,,n,,,
47001000100040001540,BARA LATA CUPRU CU-ETP 1/2 T 100X10X4000 MM R=1,{12},4000,100,10,,,CU-ETP R250,,KG,ML,8.94,COPPER FLAT BARS 100X10X4000 MM CU-ETP R250 ,KG,y,,n,,,
47000400100040000144,BARA LATA CUPRU CU-ETP 1/2 T 40X10X4000 MM R=1,{12},4000,40,10,,,CU-ETP R250,,KG,ML,3.576,COPPER FLAT BARS 40X10X4000MM CU-ETP R250,KG,y,,n,,,
12050500150030001300,TABLA ALUMINIU 5754 H111 5X1500X3000 MM,{19},3000,1500,5,,,EN AW 5754 H111,,KG,BUC,59.85,AL. SHEETS 5754 H111 5X1500X3000 MM,KG,y,,n,,,
12050300125025001300,TABLA ALUMINIU 5754 H111 3X1250X2500 MM,{19},2500,1250,3,,,EN AW 5754 H111,,KG,BUC,24.9375,"AL. SHEETS  5754 H111 3,0X1250X2500 MM",KG,y,,n,,,
21015015015600061500,CORNIER ALU 15X15X1.5X6000 MM 6060  T6,{29},6000,15,1.5,,15,EN AW 6060 T6,,KG,ML,0.1154,"ALU L PROFILES 15X15X1,5X6000 MM 6060 T6",KG,y,,n,,,
47000500100040000140,BARA LATA CUPRU CU-ETP 1/2 T 50X10X4000 MM R=1,{12},4000,50,10,,,CU-ETP R250,,KG,ML,4.47,COPPER FLAT BARS 50X10X4000MM CU-ETP R250,KG,y,,n,,,
25040002006000061500,TEAVA ALU D 40X2X6000 MM  6060 T6,{34},6000,,2,40,,EN AW 6060 T6,,KG,ML,0.6443,ALU ROUND TUBES 40X2X6000 MM 6060 T6,KG,y,,n,,,
24060020020600061500,TEAVA RECTANG. ALU 60X20x2x6000 MM 6060  T6,{32},6000,60,2,,20,EN AW 6060 T6,,KG,ML,0.8208,ALU RECT. TUBES 60X20X2X6000 MM 6060 T6,KG,y,,n,,,
26120000003000063600,BARA ALU D 120X3000 MM 6082 T6,{36},3000,,,120,,EN AW 6082 T6,,KG,ML,30.5208,ALU ROUND BARS 120X3000 MM 6082 T6,KG,y,,y,,2.7,
46000080000003000600,BARA CUPRU D8X3000 MM CUPB1P TRAS,{8},3000,,,8,,CUPB1P,,KG,,1,COPPER ROUND BARS D8X3000 MM CUPB1 DRAWN ,KG,y,,y,,,
11010801000500101540,BANDA  AL 1050 H24 0.8X1000 MM  ~105 KG - ISORULO,{18},,1000,0.8,,,EN AW 1050 H24,,KG,M2,2.17,"AL. COILS 1050 H24 0,8X1000 MM 100KG",KG,y,,n,,,100
48000610000003002040,BARA BRONZ D61X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,61,,CUSN7ZN4PB7-C-GC,,KG,ML,25.9968,BRONZE ROUND BARS D61X3000 MM CUSN7ZN4PB7-C,KG,y,,y,,,
42101501000200000140,TABLA CUPRU CU-ETP R240 1/2 T 1.5X1000X2000 MM,{67},2000,1000,1.5,,,CU-ETP R240,,KG,BUC,26.82,COPPER SHEETS CU-ETP R240 1.5X1000X2000 MM,KG,y,,n,,,
21020020020600061500,CORNIER ALU  20X20X2X6000 MM 6060  T6,{29},6000,20,2,,20,EN AW 6060 T6,,KG,ML,0.2052,ALU L PROFILES 20X20X2X6000 MM 500-3290 6060 T6,KG,y,,n,,,
47000250050040000140,BARA LATA CUPRU CU-ETP 1/2 T 25X5X4000 MM R=1,{12},4000,25,5,,,CU-ETP R250,,KG,ML,1.1175,COPPER FLAT BARS 25X5X4000 MM CU-ETP R250,KG,y,,n,,,
12050500100020001300,TABLA ALUMINIU 5754 H111 5X1000X2000 MM,{19},2000,1000,5,,,EN AW 5754 H111,,KG,BUC,26.6,AL. SHEETS 5754 H111 5X1000X2000,KG,y,,n,,,
LAMA ZAP,LAMA PT. FREZA ZAPADA,{0},,,,,,,,BUC,,0,,BUC,n,LAMA PT. FREZA ZAPADA,n,,,
36000220000003000240,BARA ALAMA D22X3000 MM CUZN39PB3 R430,{56},3000,,,22,,CUZN39PB3 R430,,KG,ML,3.2143,BRASS ROUND BARS D22X3000 MM CUZN39PB3 R430 ,KG,y,,y,,,
1250830302F152030200,TABLA ALUMINIU 5083 H111  30 MM,{27},,,30,,,EN AW 5083 H111,,KG,BUC,1,ALU PLATES 5083 H111 30X1520X3020 MM ,KG,y,,y,5083,,
120PP50830101540304G,TABLA ALUMINIU DE PRECIZIE 5083 10 MM,{25},,,10,,,5083,,KG,BUC,1,PREC. MACH. CAST AL PLATE 5083 10 MM,KG,y,,y,PP5083,,
12010400100020001540,TABLA ALUMINIU 1050 H24 4x1000x2000 MM,{19},2000,1000,4,,,EN AW 1050 H24,,KG,BUC,21.6,"AL. SHEETS 1050 H24 4,0X1000X2000 MM",KG,y,,n,,,
120PP50830201540304G,TABLA ALUMINIU DE PRECIZIE 5083 20 MM,{25},,,20,,,5083,,KG,BUC,1,PREC. MACH. CAST AL PLATE 5083 20 MM,KG,y,,y,PP5083,,
25035002006000061500,TEAVA ALU D 35X2X6000 MM  6060 T6,{34},6000,,2,35,,EN AW 6060 T6,,KG,ML,0.5595,ALU ROUND TUBES 35X2X6000 MM 6060 T6,KG,y,,n,,,
46000400004003000440,BARA PATRATA CUPRU 40X40X3000 MM CU-ETP R250,{10},3000,40,,,,CU-ETP R250,,KG,ML,14.304,COPPER SQUARE BARS 40X40X3000 MM CU-ETP R250,KG,y,,n,,,
24080080030600061500,TEAVA PATRATA ALU 80x80x3x6000 MM 6060  T6,{33},6000,80,3,,,EN AW 6060 T6,,KG,ML,2.4948,ALU SQUARE TUBES 80X80X3X6000 MM 6060 T6,KG,y,,n,,,
21040020020600061500,CORNIER ALU  40X20X2X6000 MM 6060  T6,{29},6000,40,2,,20,EN AW 6060 T6,,KG,ML,0.3132,ALU L PROFILES 40X20X2X6000 MM 6060 T6,KG,y,,n,,,
12608201500152030200,TABLA  ALUMINIU 6082 T651  15 MM,{27},,,15,,,EN AW 6082 T651,,KG,BUC,1,AL. PLATES 15X1520X3020 MM 6082 T651 MM BOTH SIDE PROT.FOIL,KG,y,,y,6082,,
1220170402F152030200,TABLA ALUMINIU 2017A T451  40 MM,{27},,,40,,,EN AW 2017A T451,,KG,BUC,1,ALU PLATES 2017A 40X1520X3020 ,KG,y,,y,2017,,
21060020020600061500,CORNIER ALU  60X20X2X6000 MM 6060  T6,{29},6000,60,2,,20,EN AW 6060 T6,,KG,ML,0.4212,ALU L PROFILES 60X20X2X6000 MM 6060 T6,KG,y,,n,,,
24040040020600061500,TEAVA PATRATA ALU 40x40x2x6000 MM 6060  T6,{33},6000,40,2,,,EN AW 6060 T6,,KG,ML,0.8208,ALU SQUARE TUBES 40X40X2X6000 MM 500-3296 6060 T6,KG,y,,n,,,
25050002006000061500,TEAVA ALU D 50X2X6000 MM  6060 T6,{34},6000,,2,50,,EN AW 6060 T6,,KG,ML,0.8139,ALU ROUND TUBES 50X2X6000 MM 6060 T6,KG,y,,n,,,
48000710000003002040,BARA BRONZ D71X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,71,,CUSN7ZN4PB7-C-GC,,KG,ML,35.2189,BRONZE ROUND BARS D71X3000 MM CUSN7ZN4PB7-C,KG,y,,y,,,
36000160006003000240,BARA HEXAG ALAMA 16X3000 MM CUZN39PB3 R430,{58},3000,,,,16,CUZN39PB3 R430,,KG,ML,1.8755,BRASS HEXAG BARS 16X3000 MM CUZN39PB3 R430,KG,y,,n,,,
120PP508300615203020,TABLA ALUMINIU DE PRECIZIE  5083 6 MM,{25},,,6,,,5083,,KG,BUC,73.27,PREC. MACH. CAST AL PLATE 5083 6 MM,KG,y,,y,PP5083,,
12010070100020001540,TABLA ALUMINIU 1050 H24  0.7x1000x2000 MM,{19},2000,1000,0.7,,,EN AW 1050 H24,,KG,BUC,3.78,"AL. SHEETS 1050 H24 0,7X1000X2000 MM",KG,y,,n,,,
21040040040600061500,CORNIER ALU 40X40X4X6000 MM 6060  T6,{29},6000,40,4,,40,EN AW 6060 T6,,KG,ML,0.8208,ALU L PROFILES 40X40X4X6000 MM 6060 T6,KG,y,,n,,,
21025025030600061500,CORNIER ALU 25X25X3X6000 MM 6060  T6,{29},6000,25,3,,25,EN AW 6060 T6,,KG,ML,0.3807,ALU L PROFILES 25X25X3X6000 MM 6060 T6,KG,y,,n,,,
12050400100020001320,TABLA ALUMINIU  5754 H22 4x1000x2000 MM,{19},2000,1000,4,,,EN AW 5754 H22,,KG,BUC,21.28,"AL. SHEETS 5754 H22 4,0X1000X2000 MM",KG,y,,n,,,
12707511000152030200,TABLA  ALUMINIU 7075  T651 110 MM,{27},,,110,,,EN AW 7075 T651,,KG,BUC,1,ALU PLATES 7075 T651 110X1520X3020 MM,KG,y,,y,7075,,
48000560000003002040,BARA BRONZ D56X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,56,,CUSN7ZN4PB7-C-GC,,KG,ML,21.9097,BRONZE ROUND BARS D56X3000 MM CUSN7ZN4PB7-C,KG,y,,y,,,
48000310000003002040,BARA BRONZ D31X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,31,,CUSN7ZN4PB7-C-GC,,KG,ML,6.714,BRONZE ROUND BARS D31X3000 MM CUSN7ZN4PB7-C,KG,y,,y,,,
25050005006000061500,TEAVA ALU D 50X5X6000 MM  6060 T6,{34},6000,,5,50,,EN AW 6060 T6,,KG,ML,1.9076,ALU ROUND TUBES 50X5X6000 MM 6060 T6,KG,y,,n,,,
1260820352F152030200,TABLA  ALUMINIU 6082 T651  35 MM,{27},,,35,,,EN AW 6082 T651,,KG,BUC,1,AL. PLATES 6082 T651 35X1520X3020 MM ,KG,y,,y,6082,,
48000210000003002040,BARA BRONZ D21X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,21,,CUSN7ZN4PB7-C-GC,,KG,ML,3.081,BRONZE ROUND BARS D21X3000 MM CUSN7ZN4PB7-C-GC,KG,y,,y,,,
48000660000003002040,BARA BRONZ D66X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,66,,CUSN7ZN4PB7-C-GC,,KG,ML,30.4332,BRONZE ROUND BARS D66X3000 MM CUSN7ZN4PB7-C ,KG,y,,y,,,
48000810000003002040,BARA BRONZ D81X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,81,,CUSN7ZN4PB7-C-GC,,KG,ML,45.8384,BRONZE ROUND BARS D81X3000 MM CUSN7ZN4PB7-C,KG,y,,y,,,
12050300150030001300,TABLA ALUMINIU  5754 H111 3X1500X3000 MM,{19},3000,1500,3,,,EN AW 5754 H111,,KG,BUC,35.91,AL. SHEETS 3X1500X3000 MM 5754 H111,KG,y,,n,,,
48000910000003002040,BARA BRONZ D91X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,91,,CUSN7ZN4PB7-C-GC,,KG,ML,57.8552,BRONZE ROUND BARS D91X3000 MM CUSN7ZN4PB7-C,KG,y,,y,,,
21060040020600061500,CORNIER ALU  60X40X2X6000 MM 6060  T6,{29},6000,60,2,,40,EN AW 6060 T6,,KG,ML,0.5292,ALU L PROFILES 60X40X2X6000 MM 6060 T6,KG,y,,n,,,
46000300000004000440,BARA CUPRU D30X4000 MM CU-ETP R250,{8},4000,,,30,,CU-ETP R250,,KG,ML,6.3161,COPPER ROUND BARS D30X4000 MM CU-ETP R250 DRAWN,KG,y,,y,,,
24100050030600061500,TEAVA RECTANG. ALU 100x50x3x6000 MM 6060  T6,{32},6000,100,3,,50,EN AW 6060 T6,,KG,ML,2.3328,ALU RECT. TUBES 100X50X3X6000 MM 6060 T6,KG,y,,n,,,
12060500150030006360,TABLA ALUMINIU 6082 T651  5X1500X3000 MM,{19},3000,1500,5,,,EN AW 6082 T6,,KG,BUC,60.75,AL. SHEETS 6082  5X1500X3000 MM,KG,y,,n,,,
12050300100020001300,TABLA  ALUMINIU 5754  H111 3X1000X2000 MM,{19},2000,1000,3,,,EN AW 5754 H111,,KG,BUC,15.96,"AL. SHEETS 5754 H111  3,0X1000X2000 MM",KG,y,,n,,,
12010200125025001540,TABLA ALUMINIU 1050 H24  2x1250x2500 MM,{19},2500,1250,2,,,EN AW 1050 H24,,KG,BUC,16.875,AL. SHEETS 1050 H24 2X1250X2500 MM,KG,y,,n,,,
120PP575402017402040,TABLA ALUMINIU DE PRECIZIE 5754 20 MM,{25},,,20,,,5754,,KG,BUC,1,PREC. MACH. CAST AL PLATE 5754 20 MM,KG,y,,y,PP5754,,
12050200150030001300,TABLA  ALUMINIU 5754 H111  2X1500X3000 MM,{19},3000,1500,2,,,EN AW 5754 H111,,KG,BUC,23.94,AL. SHEETS 5754 H111 2X1500X3000 MM,KG,y,,n,,,
1270750502F152030200,TABLA  ALUMINIU 7075  T651 50 MM,{27},,,50,,,EN AW 7075 T651,,KG,BUC,1,ALU PLATES 7075 T651 50X1520X3020 MM ,KG,y,,y,7075,,
12910300150030001560,TABLA  AL STRIATA1050 H244 3x1500x3000 MM,{22},3000,1500,3,,,EN AW 1050 H244,,KG,BUC,40,AL. TREAD SHEETS 1050 H244 3X1500X3000 MM,KG,y,,n,,,
1250830122F152030200,TABLA ALUMINIU 5083 H111  12 MM,{27},,,12,,,EN AW 5083 H111,,KG,BUC,1,AL. SHEETS 5083 H111 12X1520X3020 MM 2 SIDE PROT.FOIL,KG,y,,y,5083,,
42102001000200000340,TABLA CUPRU CU-DHP R240 1/2 T 2X1000X2000 MM,{67},2000,1000,2,,,CU-DHP R240,,KG,BUC,35.76,COPPER SHEETS CU-DHP R240 2.0X1000X2000 MM,KG,y,,n,,,
12010050100020001540,TABLA ALUMINIU 1050 H24  0.5X1000X2000 MM,{19},2000,1000,0.5,,,EN AW 1050 H24,,KG,BUC,2.7,"AL. SHEETS 1050 H24 0,5X1000X2000 MM",KG,y,,n,,,
1220170252F152030200,TABLA ALUMINIU 2017A T451  25 MM,{27},,,25,,,EN AW 2017A T451,,KG,BUC,1,ALU PLATES 25X1520X3020 MM 2017A,KG,y,,y,2017,,
21050050020600061500,CORNIER ALU 50X50X2X6000 MM 6060  T6,{29},6000,50,2,,50,EN AW 6060 T6,,KG,ML,0.5292,ALU L PROFILES 50X50X2X6000 MM 6060 T6,KG,y,,n,,,
21060030020600061500,CORNIER ALU 60X30X2X6000 MM 6060  T6,{29},6000,60,2,,30,EN AW 6060 T6,,KG,ML,0.4752,ALU L PROFILES 60X30X2X6000 MM6060T6,KG,y,,n,,,
